X,Y,id,Feuille de,Feuille _1,Feuille _2,Feuille _3,Feuille _4,Feuille _5,Feuille _6,Feuille _7,Saison,Type_de_pr,Popul,Favoris,icon_url
55.6756216261936,-20.9968511732287,"1",Foire Agricole de Bras-Panon,Mai,"1969","1 au 20 année 2020 mais annulé, 43éme édition",Produits du terroir,"Champ de Foire, Bras-Panon",Bras Panon,Mairie de Bras-Panon,hiver austral,produits du terroir,36.000000000,30.00000000000,./0.png
55.5509533465015,-21.2184085861609,"2",Miel vert,Janvier,"1983","7 au 10 janvier 2020, 38éme Edition","Miel vert + animaux de la ferme (vache, cochon, lapin, poule, boeuf, mouton etc..)",Site du miel vert dans la plaine des Cafres - Commune du Tampon,Le Tampon,Commune du Tampon,été austral,produit d'origine animale,76.000000000,56.00000000000,./0.png
55.6214723118228,-21.1324996960963,"3",Fête du Goyavier,Mai-Juin,"1988","29 Mai et 1et Juin 2020 mais annulé, 32éme édition",Goyavier,Site du bassin Cadet - Plaine des palmistes,Plaine des palmiste,"Commune de la Plaine des palmistes, David Bénard",hiver austral,plante,6.000000000,22.00000000000,./0.png
55.4631013875118,-21.1365740121315,"4",Fête de la Lentille,Octobre,"1990","18 et 25 Octobre 2020, 30éme édition",Lentille de Cilaos,"Centre-ville Cilaos pour 2020, Chemin de la chapelle habituellement.",Cilaos,"Service des Sports, Mairie de Cilaos et producteurs de lentilles",hiver austral,légume,7.000000000,5.00000000000,./0.png
55.5660510910371,-21.3553838844819,"5",Fête de l'Ail,Octobre,"1990","24 et 25 Octobre 2020, 30éme édition",L'ail péi,Place du Vieux Moulin à Petite-île,Petite-île,Commune Petite-île,hiver austral,plante,0.000000000,1.00000000000,./0.png
55.7090013492117,-21.3739811390789,"6",Fête du Vacoa,Aout,"1991","3 au 15 Aout 2019, 28éme",Vacoa,Site Cap Méchant à Saint-Philippe,Saint-Philippe,Ville de Saint-Philippe,hiver austral,plante,5.000000000,9.00000000000,./0.png
55.2817250754809,-21.0121746501222,"7",Fête du Coco,Octobre,"1995","7 au 9 Octobre 2016, 21éme en 2016",Coco sous toutes ses formes,Quartier La Grande fontaine,Saint Paul,"Commune de Saint Paul, collectif Tour de roche",hiver austral,fruit,1.000000000,2.00000000000,./0.png
55.6999913587879,-21.0012171596506,"9",Fête du Bichique,Octobre,"1996","18 au 20 Octobre 2019, 24éme édition",Bichique,Berges de la riviére des roches à Bras-Panon,Bras-Panon,"Ville de Bras-Panon, association Pin-pins panonnais",hiver austral,animal,2.000000000,1.00000000000,./0.png
55.5485508710874,-21.3122644310129,"10",Fête de la Fraise,Octobre,"1997","4 au 6 Octobre 2019, 22éme édition",Fraise + autres fruits/légumes locaux,Domaine Vidot à Mont Vert les Hauts,Saint-Pierre,"Ville de Saint-Pierre, SOURCE V AVANT",hiver austral,fruit,7.000000000,8.00000000000,./0.png
55.4113470215133,-21.2669759675189,"11",Foire aux Agrumes,Juin-Juillet,"1999",Juillet 2021 prochaine édition,Production locale d'agrumes,MADOI - Domaine de la maison Rouge à Saint-Louis,Petite-Île,"Commune de la Petite-Île, conseil départementale",hiver austral,fruit,0.000000000,2.00000000000,./0.png
55.6066753989728,-21.3313896356206,"12",Safran en fête - fête du curcuma,Octobre,"2001","24 et 25 2020, 19éme édition",Curcuma péi,Plaine des grègues à Saint-Joseph,Saint-Joseph,"Organisé par la Ville de Saint-Joseph, la CASUD, l’Office de Tourisme du Sud Sauvage",hiver austral,épice,2.000000000,4.00000000000,./0.png
