X,Y,ID,NOM,LONG(x),LAT(y),LABEL,ANNEE,LIEU,STATUT,PRODUITS,icon_url
-33.2354268654459,-85.5266106917846,"1",La ferme des Pitayas,55.524810000000002,-21.305133000000001,Accueil Paysan,,Le Tampon,,Gîtes,./0.png
-33.2353983967559,-85.5266084002127,"2",Ferme Ichabe,55.267169000000003,-21.057528999999999,Accueil Paysan,,Saint-Paul,,Table d'hôtes,./0.png
-33.235395200202,-85.5266080220563,"3",Plage Boucan Canot,55.224707000000002,-21.029782999999998,Pavillon Bleu,,Saint-Paul,,Espace marine,./0.png
-33.2354006664933,-85.5266079823737,"4",Plage Ermitage,55.220460000000003,-21.077546999999999,Pavillon Bleu,,Saint-Giles,,Espace marine,./0.png
-33.2353978762046,-85.5266080149541,"5",Les roches noires,55.224007999999998,-21.053159999999998,Pavillon Bleu,,Saint-Giles,,Espace marine,./0.png
-33.2353861176121,-85.5266090676645,"6",Lodge Roche Tamarin & Spa,55.341470000000001,-20.949967999999998,Spa de France,,La Possession,,Massage - Bien être,./0.png
-33.2353911305902,-85.5266085263175,"7",Saint-Paul,55.281028999999997,-20.994004000000000,Stations classées,,Saint-Paul,,Communes touristiques,./0.png
-33.2353951676278,-85.5266105670782,"8",Salazie,55.509703999999999,-21.028324000000001,Stations vertes,,Salazie,,Tourisme de nature,./0.png
-33.2354174703149,-85.5266089814674,"9",Entre-Deux,55.332946000000000,-21.223859999999998,Stations vertes,,Entre-Deux,,Tourisme de nature,./0.png
-33.2353994607823,-85.5266106490415,"10",Hell-Bourg,55.519036999999997,-21.065785000000002,Les plus beaux villages de France,,Salazie,,Patrimoine naturel et bâti,./0.png
-33.23540300649,-85.5266082095855,"11",Poz Lagon,55.245987999999997,-21.097881000000001,Qualité Tourisme,,Saline les Bains,,"Chambre d'hôtes, Gîte",./0.png
-33.235386811563,-85.5266087780661,"12",Feudoux Reunion,55.309064999999997,-20.956163000000000,Qualité Tourisme,,Le Port,,Restaurant,./0.png
-33.2354334490265,-85.52661178741,"13",Canyon Aventure,55.647737999999997,-21.362131999999999,Qualité Tourisme,,Saint-Joseph,,Sport de nautre,./0.png
-33.2353833928433,-85.5266100847338,"14",Domaine de Beaubassin,55.455266000000002,-20.925699000000002,Qualité Tourisme,,Saint-Denis,,Lieu de visite,./0.png
