X,Y,full_id,osm_id,osm_type,amenity,covered,ele,bbq,name,leisure,check_date,icon_url
-33.2354031232966,-85.5266083735225,n513330299,"513330299",node,,,,,,picnic_table,2021-10-18,./0.png
-33.2354030948768,-85.526608371493,n513330347,"513330347",node,,,,,,picnic_table,2021-10-18,./0.png
-33.2354031097844,-85.5266083702183,n513330378,"513330378",node,,,,,,picnic_table,2021-10-18,./0.png
-33.2354015293163,-85.5266126933602,n1434098893,"1434098893",node,,,,,Bassin Bleu,picnic_table,,./0.png
-33.2354141786356,-85.526611658751,n1488667691,"1488667691",node,,,,,,picnic_table,,./0.png
-33.2354030687394,-85.5266118471564,n1504179840,"1504179840",node,,,"515",yes,Grand Étang,picnic_table,,./0.png
-33.2354137577458,-85.5266107966202,n1609417488,"1609417488",node,,,,,,,,./0.png
-33.2353837902006,-85.5266087193637,n1862701549,"1862701549",node,,,,,,picnic_table,,./0.png
-33.2353837996786,-85.5266087249651,n1862701553,"1862701553",node,,,,,,picnic_table,,./0.png
-33.2353993503811,-85.5266107664746,n1917564854,"1917564854",node,,yes,,,,picnic_table,,./0.png
-33.2354238711675,-85.5266090552706,n1970220710,"1970220710",node,,,,,,picnic_table,,./0.png
-33.235408334458,-85.5266112715005,n3691406321,"3691406321",node,,,,,,picnic_table,,./0.png
-33.2353934045771,-85.5266094342519,n3835669763,"3835669763",node,,,,,,picnic_table,,./0.png
-33.2353934063531,-85.5266094353568,n3835669764,"3835669764",node,,,,,,picnic_table,,./0.png
-33.2354150542891,-85.5266115498723,n4005200155,"4005200155",node,,,,,,picnic_table,,./0.png
-33.235432808734,-85.5266106068897,n4007463429,"4007463429",node,,,,,,picnic_table,,./0.png
-33.2354328385299,-85.5266106078758,n4007463430,"4007463430",node,,,,,,picnic_table,,./0.png
-33.2353997103551,-85.5266093911766,n4024128072,"4024128072",node,shelter,,,,,picnic_table,,./0.png
-33.2353999987982,-85.5266094005479,n4024133162,"4024133162",node,shelter,,,,,picnic_table,,./0.png
-33.2353989425762,-85.5266093677394,n4024137720,"4024137720",node,shelter,,,,,picnic_table,,./0.png
-33.2353985789926,-85.5266093383936,n4024139121,"4024139121",node,shelter,,,,,picnic_table,,./0.png
-33.2353989156867,-85.5266093636965,n4024139935,"4024139935",node,shelter,,,,,picnic_table,,./0.png
-33.2353989099661,-85.5266093886879,n4024140475,"4024140475",node,shelter,,,,,picnic_table,,./0.png
-33.2354022175129,-85.5266092226598,n4159214013,"4159214013",node,shelter,,,,Maison Laclos,picnic_table,,./0.png
-33.2354041514354,-85.5266092509828,n4159214014,"4159214014",node,shelter,,,,,picnic_table,,./0.png
-33.2354041878971,-85.5266092515828,n4159214015,"4159214015",node,shelter,,,,,picnic_table,,./0.png
-33.2353987190327,-85.5266092859333,n4159214289,"4159214289",node,shelter,,,,,picnic_table,,./0.png
-33.2353987413775,-85.5266092860842,n4159214290,"4159214290",node,shelter,,,,,picnic_table,,./0.png
-33.2354322670776,-85.5266105216755,n4167852728,"4167852728",node,,,,,Table de pique-nique,picnic_table,,./0.png
-33.2354322437461,-85.5266105212633,n4167852729,"4167852729",node,,,,,Table de pique-nique,picnic_table,,./0.png
-33.2354334846049,-85.5266107623135,n4170096477,"4170096477",node,,,,,,picnic_table,,./0.png
-33.2354148554342,-85.526608632734,n4275868325,"4275868325",node,,yes,,,,picnic_table,,./0.png
-33.2354148957013,-85.5266086308234,n4275868326,"4275868326",node,,yes,,,,picnic_table,,./0.png
-33.2354149096878,-85.5266086296652,n4275868328,"4275868328",node,,yes,,,,picnic_table,,./0.png
-33.235414944553,-85.5266086290834,n4275868331,"4275868331",node,,yes,,,,picnic_table,,./0.png
