id,origine,nature,toponyme,importance,icon_url
PAICULOI0000000000008366,BDTopo,Village de vacances,NR,NR,./0.png
PAICULOI0000000000008360,BDTopo,Village de vacances,NR,NR,./0.png
PAICULOI0000000000387956,Orthophotographie,Parc des expositions,NR,NR,./0.png
PAICULOI0000000000386837,Orthophotographie,Parc des expositions,NR,NR,./0.png
PAICULOI0000000000008350,BDNyme,Monument,stle joset thve,"8",./0.png
PAICULOI0000000000008347,BDNyme,Construction,le fond du dboul,"8",./0.png
PAICULOI0000000000008356,BDNyme,Construction,htel des thermes,"8",./0.png
PAICULOI0000000000008348,BDNyme,Refuge,gte de blouve,"8",./0.png
PAICULOI0000000000753567,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000753564,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000008363,BDNyme,Refuge,gte beldan,"8",./0.png
PAICULOI0000000000008377,BDNyme,Refuge,gte de basse valle,"8",./0.png
PAICULOI0000000000753566,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090292,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090296,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090308,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090315,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001090324,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000001196204,Terrain,Espace public,NR,NR,./0.png
PAICULOI0000000001090310,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000008373,BDNyme,Refuge,abri du tremblet,"8",./0.png
PAICULOI0000000000008352,BDNyme,Refuge,gte de la caverne dufour,"8",./0.png
PAICULOI0000000001757002,Orthophotographie,Espace public,NR,NR,./0.png
PAICULOI0000000000008365,BDNyme,Refuge,gte de bellecombe,"8",./0.png
PAICULOI0000000001697634,Orthophotographie,Parc de loisirs,NR,NR,./0.png
PAICULOI0000000001656488,BDNyme,Refuge,le pavillon,"8",./0.png
PAICULOI0000000001656553,BDNyme,NR,rserve biologique du mazerin,"6",./0.png
PAICULOI0000000001631203,BDNyme,NR,rserve de la roche crite,"4",./0.png
PAICULOI0000000001656551,BDNyme,NR,rserve biologique de blouve,"7",./0.png
PAICULOI0000000001656549,BDNyme,NR,rserve biologique de bbour,"5",./0.png
PAICULOI0000000002081957,Terrain,Camping,NR,NR,./0.png
PAICULOI0000000002305029,Orthophotographie,NR,NR,NR,./0.png
PAICULOI0000000002305034,Orthophotographie,NR,NR,NR,./0.png
