X,Y,longitude,latitude,unique_num,id_no,rev_bis,name_en,name_fr,short_desc,short_de_1,justificat,justific_1,date_inscr,secondary_,danger,date_end,danger_lis,area_hecta,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_t,category,category_s,states_nam,states_n_1,region_en,region_fr,iso_code,udnp_code,transbound,d,icon_url
67.82525,34.84694,67.825249999999997,34.846939999999996,"230","208",Rev,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Paysage culturel et vestiges archéologiques de la vallée de Bamiyan,"<p>The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhar","<p>Le paysage culturel et les vestiges archéologiques de la vallée de Bamiyan illustrent les développements artistiques et religieux qui, du Ier au XIIIe siècle, ont caractérisé l’ancienne Bactriane, intégrant diverses influences culturelles pou","<p><em>Criterion (i):</em> The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region.</p>
<p><em>Criterion (ii)</em> : The artistic and architectural remain","<p><em>Critère (i):</em> Les statues de Bouddha et l’art rupestre de la vallée de Bamyan sont une représentation exceptionnelle de l’école du Gandhara dans l’art bouddhique de la région d’Asie centrale.</p>
<p><em>Critère (ii):</em> Les ves","2003",,"1",,Y 2003,158.926500000000004,"1","1","1","1","0","1","0","0","0","0",(i)(ii)(iii)(iv)(vi),Cultural,C,Afghanistan,Afghanistan,Asia and the Pacific,Asie et Pacifique,af,afg,"0",2003/01/01,./0.png
64.5160555556,36.3965555556,64.516055555600005,36.396555555600003,"234","211",Rev,Minaret and Archaeological Remains of Jam,Minaret et vestiges archéologiques de Djam,"<p>The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent","<p>Haut de 65m, le minaret de Djam est une construction gracieuse et élancée datant du XIIe siècle. Recouvert d’une décoration complexe en briques et portant une inscription de tuiles bleues au sommet, il est remarquable par la qualité de son arch","<p><em>Criterion (ii):</em> The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond.</p>
<p><em>Criterion (iii): </em>The Minaret of","<p><em>Critère (ii)</em> : L'architecture et la décoration innovatrices du Minaret de Djam ont joué un rôle significatif dans le développement des arts et de l'architecture du sous-continent indien et au-delà.</p>
<p><em>Critère (iii)</em> : Le mi","2002",,"1",,Y 2002,70.000000000000000,"0","1","1","1","0","0","0","0","0","0",(ii)(iii)(iv),Cultural,C,Afghanistan,Afghanistan,Asia and the Pacific,Asie et Pacifique,af,afg,"0",2002/01/01,./0.png
20.1408333333,40.0741666667,20.140833333300002,40.074166666700002,"1590","569",Bis,Historic Centres of Berat and Gjirokastra,Centres historiques de Berat et de Gjirokastra,"<p>Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It f","<p>Berat et Gjirokastra sont inscrites en tant que rares exemples d'un style architectural typique de la période ottomane. Située dans le centre de l'Albanie, Berat porte le témoignage de la coexistence de différentes communautés religieuses et cult",,,"2005","2008","0",,,58.899999999999999,"0","0","1","1","0","0","0","0","0","0",(iii)(iv),Cultural,C,Albania,Albanie,Europe and North America,Europe et Amérique du Nord,al,alb,"0",2005/01/01,./0.png
20.02095,39.745732,20.020949999999999,39.745731999999997,"1563","570",ter,Butrint,Butrint,"<p>Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late","<p>Habité depuis les temps préhistoriques, le site de Butrint fut successivement le siège d’une colonie grecque, d’une ville romaine, puis d’un évêché. Après une époque de prospérité sous l’administration de Byzance, puis une brève occ",,,"1992","1999","0","2005",P 1997-2005,,"0","0","1","0","0","0","0","0","0","0",(iii),Cultural,C,Albania,Albanie,Europe and North America,Europe et Amérique du Nord,al,alb,"0",1992/01/01,./0.png
4.78684,35.81844,4.786840000000000,35.818440000000002,"111","102",,Al Qal'a of Beni Hammad,La Kalâa des Béni Hammad,"<p>In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eigh","<p>Dans un site montagneux d&rsquo;une saisissante beaut&eacute;, les ruines de la premi&egrave;re capitale des &eacute;mirs hammadides, fond&eacute;e en 1007 et d&eacute;mantel&eacute;e en 1152, nous restituent l&rsquo;image authentique d&rsquo;une vill",,,"1980",,"0",,,150.000000000000000,"0","0","1","0","0","0","0","0","0","0",(iii),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,"0",1980/01/01,./0.png
9.0,25.5,9.000000000000000,25.500000000000000,"198","179",,Tassili n'Ajjer,Tassili n'Ajjer,"<p>Located in a strange lunar landscape of great geological interest, this site has one of the most important groupings of prehistoric cave art in the world. More than 15,000 drawings and engravings record the climatic changes, the animal migrations and","<p>Cet étrange paysage lunaire de grand intérêt géologique abrite l’un des plus importants ensembles d’art rupestre préhistorique du monde. Plus de 15 000 dessins et gravures permettent d’y suivre, depuis 6000 av. J.-C. jusqu’aux premiers si",,,"1982",,"0",,,7200000.000000000000000,"1","0","1","0","0","0","1","1","0","0",(i)(iii)(vii)(viii),Mixed,C/N,Algeria,Algérie,Arab States,États arabes,dz,dza,"0",1982/01/01,./1.png
3.68333,32.48333,3.683330000000000,32.483330000000002,"209","188",,M'Zab Valley,Vallée du M'Zab,"<p>A traditional human habitat, created in the 10th century by the Ibadites around their five <em>ksour</em> (fortified cities), has been preserved intact in the M’Zab valley. Simple, functional and perfectly adapted to the environment, the architectur","<p>Le paysage de la vallée du M’Zab, créé au Xe siècle par les Ibadites autour de leurs cinq <em>ksour</em>, ou villages fortifiés, semble être resté intact. Simple, fonctionnelle et parfaitement adaptée à l’environnement, l’architecture d",,,"1982",,"0",,,665.029999999999973,"0","1","1","0","1","0","0","0","0","0",(ii)(iii)(v),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,"0",1982/01/01,./0.png
5.73667,36.32056,5.736670000000000,36.320560000000000,"212","191",,Djémila,Djémila,"<p>Situated 900 m above sea-level, Dj&eacute;mila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.</p>","<p>Dj&eacute;mila, ou Cuicul, avec son forum, ses temples et ses basiliques, ses arcs de triomphe et ses maisons, &agrave; 900 m d&rsquo;altitude, est un exemple remarquable d&rsquo;urbanisme romain adapt&eacute; &agrave; un site montagneux.</p>",,,"1982",,"0",,,30.600000000000001,"0","0","1","1","0","0","0","0","0","0",(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,"0",1982/01/01,./0.png
2.383333333,36.55,2.383333333000000,36.549999999999997,"214","193",,Tipasa,Tipasa,"<p>On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzan","<p>Sur les rives de la Méditerranée, Tipasa, ancien comptoir punique, fut occupé par Rome, qui en fit une base stratégique pour la conquête des royaumes mauritaniens. Il comprend un ensemble unique de vestiges phéniciens, romains, paléochrétiens",,,"1982",,"0","2006",P 2002-2006,52.159999999999997,"0","0","1","1","0","0","0","0","0","0",(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,"0",1982/01/01,./0.png
6.4688611111,35.4841666667,6.468861111100000,35.484166666699998,"215","194",,Timgad,Timgad,"<p>Timgad lies on the northern slopes of the Aurès mountains and was created <em>ex nihilo</em> as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the <em>cardo</em> and <em>decumanus</em>, the","<p>Sur le versant nord des Aurès, Timgad fut créée <em>ex nihilo</em>, en 100 apr. J.-C., par l’empereur Trajan comme colonie militaire. Avec son enceinte carrée et son plan orthogonal commandé par le <em>cardo</em> et le <em>decumanus</em>, les d",,,"1982",,"0",,,90.540000000000006,"0","1","1","1","0","0","0","0","0","0",(ii)(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,"0",1982/01/01,./0.png
